Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
47,No,Travel_Rarely,147,Research & Development,9,3,Marketing,1,31,1,Male,55,2,2,Manager,4,Married,11693,2306,3,Y,No,14,3,3,80,2,4,1,3,4,1,2,4
29,No,Travel_Rarely,978,Sales,2,3,Human Resources,1,32,2,Male,85,2,3,Manager,4,Single,4801,9836,3,Y,No,11,3,4,80,0,4,1,2,2,2,6,2
53,Yes,Travel_Rarely,971,Sales,1,4,Life Sciences,1,33,1,Female,98,4,3,Sales Executive,4,Divorced,3153,23071,4,Y,No,16,3,2,80,3,15,4,4,9,3,6,6
27,Yes,Travel_Rarely,328,Human Resources,8,4,Other,1,34,2,Male,93,3,2,Human Resources,4,Married,3187,10314,6,Y,Yes,14,3,2,80,3,12,3,3,0,0,4,0
44,No,Travel_Rarely,1244,Human Resources,20,4,Life Sciences,1,35,3,Male,58,3,2,Manager,3,Divorced,10336,5038,5,Y,Yes,16,3,4,80,1,13,6,3,7,3,2,0
39,Yes,Travel_Rarely,1079,Research & Development,11,2,Marketing,1,36,1,Female,88,3,2,Research Scientist,3,Divorced,19999,9774,1,Y,No,17,3,2,80,0,11,6,3,1,1,0,0
37,Yes,Non-Travel,1363,Sales,3,4,Medical,1,37,3,Female,54,2,3,Sales Executive,2,Married,2727,8310,4,Y,No,13,4,2,80,0,8,4,3,4,0,1,1
59,No,Travel_Frequently,1226,Sales,7,3,Life Sciences,1,38,4,Female,56,4,1,Sales Executive,2,Single,2604,20731,1,Y,No,11,3,3,80,1,15,4,3,2,2,3,1
34,No,Travel_Rarely,892,Research & Development,3,2,Life Sciences,1,39,4,Male,51,3,1,Research Scientist,3,Married,8542,5833,3,Y,No,14,3,3,80,2,8,3,2,8,1,2,3
34,Yes,Non-Travel,435,Research & Development,29,4,Life Sciences,1,40,2,Male,76,2,2,Research Director,4,Married,3126,16424,3,Y,No,11,3,4,80,0,30,6,4,20,1,2,0
48,No,Non-Travel,657,Sales,12,2,Life Sciences,1,41,4,Male,84,3,4,Sales Executive,3,Divorced,9054,24673,3,Y,No,15,3,3,80,0,24,6,3,17,1,1,2
43,Yes,Travel_Rarely,102,Research & Development,8,1,Marketing,1,42,2,Male,38,3,2,Manager,4,Single,6497,11535,2,Y,Yes,13,3,3,80,0,15,4,1,6,1,4,1
48,No,Non-Travel,832,Sales,4,3,Life Sciences,1,43,1,Male,83,2,5,Sales Representative,4,Married,4844,11909,4,Y,No,18,3,3,80,1,11,2,3,4,4,5,3
38,Yes,Travel_Rarely,829,Human Resources,8,4,Medical,1,44,4,Male,93,4,1,Manager,1,Divorced,6404,17515,3,Y,Yes,11,3,4,80,2,20,5,3,11,1,3,4
39,No,Non-Travel,1265,Sales,3,3,Life Sciences,1,45,4,Male,68,4,2,Manager,3,Divorced,6174,24640,1,Y,No,15,3,1,80,0,19,1,2,8,5,8,4
54,Yes,Non-Travel,1024,Research & Development,1,3,Technical Degree,1,46,3,Male,37,2,2,Manager,3,Single,4412,16175,1,Y,Yes,20,3,2,80,0,10,3,4,1,0,4,1
29,No,Travel_Rarely,1401,Sales,4,3,Technical Degree,1,47,3,Female,56,3,2,Sales Representative,3,Divorced,1713,9971,4,Y,No,17,3,4,80,1,24,1,3,12,12,1,0
36,No,Travel_Frequently,468,Research & Development,23,4,Marketing,1,48,3,Male,98,4,3,Laboratory Technician,4,Single,5470,25144,5,Y,No,18,3,4,80,2,12,1,3,3,3,2,2
44,Yes,Travel_Rarely,725,Research & Development,8,4,Medical,1,49,2,Female,62,2,4,Laboratory Technician,3,Divorced,12630,26663,2,Y,Yes,16,3,2,80,2,2,3,3,1,1,2,1
35,No,Travel_Rarely,1402,Sales,1,3,Life Sciences,1,50,2,Male,39,3,3,Sales Representative,4,Single,1871,21181,2,Y,No,11,3,1,80,2,11,4,4,2,1,2,2
31,Yes,Non-Travel,402,Human Resources,19,2,Technical Degree,1,51,3,Male,45,3,3,Manager,4,Divorced,2753,10017,7,Y,Yes,15,3,3,80,0,4,2,2,2,2,6,2
42,Yes,Travel_Rarely,1125,Research & Development,2,3,Life Sciences,1,52,4,Male,40,3,5,Research Scientist,3,Married,6349,2178,2,Y,Yes,16,3,1,80,1,8,5,3,5,1,1,2
49,No,Non-Travel,1195,Human Resources,2,3,Life Sciences,1,53,1,Male,48,3,2,Human Resources,4,Married,5029,24136,4,Y,Yes,11,3,3,80,3,1,2,2,1,1,0,1
35,Yes,Travel_Rarely,974,Research & Development,3,4,Life Sciences,1,54,4,Male,93,3,3,Research Scientist,1,Single,6289,26435,0,Y,No,14,3,1,80,3,3,4,4,0,0,3,0
35,Yes,Travel_Rarely,1312,Research & Development,7,1,Medical,1,55,1,Female,81,4,4,Laboratory Technician,1,Single,3230,6960,3,Y,Yes,11,3,1,80,1,4,3,1,0,0,0,0
31,No,Travel_Rarely,259,Human Resources,7,3,Marketing,1,56,3,Male,44,3,2,Manager,1,Married,9872,15648,2,Y,No,13,3,3,80,1,8,2,1,6,5,0,6
34,No,Travel_Rarely,1456,Sales,6,4,Medical,1,57,3,Female,71,4,3,Sales Representative,3,Divorced,5055,14786,4,Y,Yes,13,3,4,80,3,22,6,4,9,1,14,1
46,Yes,Travel_Rarely,1382,Sales,11,3,Medical,1,58,3,Female,67,1,2,Sales Representative,2,Married,7466,5208,1,Y,No,20,3,3,80,1,12,1,3,2,2,0,0
37,No,Travel_Rarely,565,Sales,3,4,Life Sciences,1,59,1,Male,78,3,1,Sales Executive,4,Divorced,5956,26355,2,Y,No,12,3,3,80,0,14,2,3,0,0,0,0
29,Yes,Travel_Rarely,184,Sales,13,4,Other,1,60,3,Male,78,1,2,Sales Executive,3,Divorced,5460,5766,2,Y,No,14,3,4,80,1,9,5,3,0,0,0,0
39,No,Travel_Rarely,980,Research & Development,1,4,Medical,1,61,3,Female,84,3,1,Laboratory Technician,3,Divorced,7158,8018,1,Y,Yes,14,4,3,80,3,18,2,3,17,2,1,1
46,Yes,Non-Travel,115,Sales,13,3,Life Sciences,1,62,1,Female,51,2,2,Sales Executive,2,Married,5496,3467,3,Y,No,12,3,3,80,1,16,4,2,4,1,1,1
31,Yes,Travel_Rarely,1256,Research & Development,9,3,Medical,1,63,1,Female,72,4,4,Research Director,2,Single,2406,11749,3,Y,Yes,17,3,3,80,2,9,1,2,4,1,3,4
25,No,Travel_Rarely,1321,Research & Development,10,5,Life Sciences,1,64,3,Female,79,3,1,Research Scientist,2,Divorced,9437,7105,4,Y,No,11,3,2,80,1,7,4,4,0,0,0,0
56,No,Non-Travel,781,Sales,5,3,Life Sciences,1,65,3,Male,48,1,1,Sales Representative,3,Married,8029,8046,1,Y,No,19,4,3,80,0,15,4,3,9,3,3,1
24,Yes,Travel_Rarely,1030,Research & Development,9,2,Life Sciences,1,66,1,Male,47,3,2,Research Director,3,Divorced,1388,25808,3,Y,No,14,3,3,80,0,15,2,3,5,2,1,3
33,No,Travel_Rarely,1337,Sales,1,2,Life Sciences,1,67,3,Female,39,4,2,Sales Executive,3,Married,3319,14402,4,Y,No,19,4,2,80,3,14,2,4,1,1,0,1
39,Yes,Non-Travel,308,Research & Development,17,4,Life Sciences,1,68,4,Male,79,3,2,Manager,3,Single,9185,21130,1,Y,Yes,11,3,2,80,1,0,2,3,0,0,4,0
34,No,Travel_Rarely,1260,Sales,1,5,Other,1,69,1,Male,78,1,2,Manager,4,Single,1642,20568,3,Y,Yes,11,4,2,80,0,6,2,2,3,3,1,3
36,Yes,Travel_Frequently,209,Human Resources,1,2,Medical,1,70,3,Female,70,4,1,Human Resources,1,Married,8657,2390,6,Y,Yes,13,4,3,80,3,14,2,2,12,12,3,5
42,No,Travel_Rarely,732,Research & Development,7,1,Medical,1,71,1,Male,44,3,1,Research Director,4,Single,4515,3224,2,Y,No,16,3,1,80,1,19,0,3,14,8,7,0
18,No,Travel_Rarely,832,Sales,12,4,Marketing,1,72,1,Male,52,3,4,Manager,3,Divorced,10983,21462,5,Y,Yes,13,3,2,80,2,14,6,4,6,6,1,6
25,Yes,Travel_Rarely,266,Sales,1,5,Human Resources,1,73,1,Female,56,3,1,Sales Representative,3,Single,4911,11002,3,Y,No,17,3,4,80,1,17,0,1,9,1,6,1
37,Yes,Non-Travel,962,Research & Development,22,2,Life Sciences,1,74,3,Male,35,3,2,Laboratory Technician,2,Single,3186,26075,0,Y,No,18,4,3,80,0,6,1,2,0,0,0,0
33,Yes,Non-Travel,255,Research & Development,29,3,Technical Degree,1,75,4,Female,53,4,5,Laboratory Technician,3,Single,5912,22461,1,Y,No,17,4,1,80,1,20,3,4,6,5,0,1
38,No,Travel_Rarely,448,Research & Development,8,3,Medical,1,76,2,Female,38,3,3,Research Director,2,Single,4825,15017,2,Y,No,15,3,3,80,3,18,1,2,7,1,3,7
39,No,Travel_Frequently,1150,Research & Development,5,3,Life Sciences,1,77,3,Male,91,2,1,Manager,4,Married,3021,13470,4,Y,No,15,3,1,80,0,9,4,3,1,0,0,1
18,No,Travel_Frequently,451,Sales,12,4,Life Sciences,1,78,3,Male,96,4,2,Manager,3,Married,18601,24998,2,Y,No,12,3,4,80,2,21,0,2,14,6,1,2
48,Yes,Travel_Rarely,851,Research & Development,3,1,Medical,1,79,2,Female,99,1,3,Research Scientist,4,Single,2744,18121,6,Y,No,14,3,4,80,0,5,1,3,1,1,0,0
32,No,Travel_Rarely,839,Sales,6,1,Marketing,1,80,3,Male,71,4,3,Sales Executive,3,Single,1279,11593,4,Y,No,11,3,3,80,1,10,3,3,2,2,2,2
29,Yes,Non-Travel,1343,Research & Development,22,2,Life Sciences,1,81,4,Male,89,3,3,Manager,2,Single,12695,6520,4,Y,No,12,3,4,80,0,19,3,2,6,6,4,6
38,No,Travel_Rarely,1371,Research & Development,28,2,Medical,1,82,4,Female,77,3,2,Manager,3,Married,3462,22809,6,Y,No,16,4,1,80,2,13,1,3,7,7,0,5
37,No,Travel_Rarely,414,Sales,23,1,Marketing,1,83,4,Female,85,2,1,Manager,1,Married,4113,11147,4,Y,Yes,13,3,4,80,1,12,4,3,8,5,1,2
47,No,Travel_Rarely,977,Sales,2,1,Medical,1,84,2,Male,34,4,2,Manager,4,Single,3964,26296,2,Y,No,12,3,1,80,1,14,1,3,0,0,3,0
39,No,Travel_Rarely,561,Sales,2,4,Technical Degree,1,85,4,Male,83,4,3,Sales Executive,4,Single,3491,16714,1,Y,No,16,3,2,80,2,20,5,3,13,6,1,10
47,No,Travel_Rarely,357,Sales,3,2,Technical Degree,1,86,2,Female,67,4,2,Manager,4,Married,3103,17183,3,Y,No,16,4,4,80,0,19,0,3,5,3,0,4
28,No,Travel_Rarely,921,Research & Development,5,5,Medical,1,87,4,Female,48,3,1,Research Scientist,3,Single,2702,17893,2,Y,No,14,3,3,80,0,10,3,3,4,1,2,4
38,No,Travel_Rarely,310,Research & Development,3,3,Human Resources,1,88,4,Male,98,2,1,Research Director,3,Married,5109,17702,4,Y,No,14,3,4,80,0,35,5,3,27,8,0,6
26,Yes,Travel_Rarely,508,Research & Development,4,3,Life Sciences,1,89,1,Female,53,3,5,Manager,4,Divorced,3861,23289,5,Y,No,16,3,1,80,1,18,2,3,9,7,1,5
37,Yes,Non-Travel,182,Research & Development,8,2,Life Sciences,1,90,3,Male,39,3,1,Manager,2,Single,7617,23654,0,Y,Yes,18,3,3,80,1,0,3,3,0,0,13,0
35,No,Travel_Rarely,1455,Sales,12,2,Life Sciences,1,91,3,Male,50,3,2,Manager,4,Single,6565,20962,5,Y,No,15,3,1,80,2,23,1,3,9,0,1,5
35,Yes,Travel_Rarely,208,Research & Development,11,3,Medical,1,92,3,Male,44,4,3,Research Director,3,Single,2817,11383,3,Y,Yes,11,3,3,80,1,12,3,2,0,0,5,0
35,No,Travel_Rarely,749,Research & Development,15,3,Medical,1,93,2,Male,93,3,2,Research Scientist,4,Married,5245,24617,2,Y,No,14,3,1,80,0,8,3,2,0,0,5,0
43,No,Non-Travel,539,Research & Development,1,4,Medical,1,94,4,Female,42,3,1,Research Scientist,4,Single,3824,24740,5,Y,Yes,13,3,2,80,2,17,4,2,3,3,0,3
22,Yes,Travel_Rarely,1139,Research & Development,1,4,Life Sciences,1,95,3,Male,69,4,2,Laboratory Technician,4,Married,2710,19048,1,Y,Yes,11,4,2,80,0,40,1,4,35,13,2,0
28,Yes,Travel_Frequently,792,Research & Development,14,3,Life Sciences,1,96,1,Female,37,2,2,Manager,3,Divorced,7432,19792,3,Y,Yes,16,3,4,80,3,1,2,4,1,0,8,1
36,Yes,Travel_Rarely,611,Research & Development,6,3,Technical Degree,1,97,1,Male,67,4,2,Laboratory Technician,2,Single,4569,11233,1,Y,No,17,3,2,80,0,7,3,3,7,4,2,0
26,Yes,Travel_Frequently,1219,Research & Development,7,4,Technical Degree,1,98,4,Male,81,3,4,Laboratory Technician,3,Married,3848,10065,2,Y,No,17,3,4,80,0,5,3,2,1,0,5,0
37,No,Non-Travel,183,Sales,1,3,Medical,1,99,1,Male,31,3,2,Sales Executive,4,Married,2941,23930,3,Y,No,11,3,1,80,1,16,1,2,9,5,1,3
36,Yes,Travel_Rarely,793,Sales,2,5,Medical,1,100,1,Male,51,3,3,Sales Executive,4,Single,2652,14439,0,Y,No,15,3,1,80,0,12,2,4,4,1,3,4
24,No,Travel_Rarely,350,Sales,9,4,Medical,1,101,3,Male,33,3,1,Sales Representative,1,Single,16208,6689,0,Y,No,14,3,3,80,0,18,4,4,7,4,0,0
23,No,Travel_Rarely,342,Research & Development,17,1,Life Sciences,1,102,3,Male,81,1,2,Manager,3,Married,6005,11016,1,Y,No,16,3,4,80,1,6,2,2,1,1,4,1
18,Yes,Travel_Rarely,266,Sales,22,3,Medical,1,103,3,Female,36,4,3,Sales Executive,2,Single,2553,13129,3,Y,No,15,3,1,80,0,20,5,4,9,0,3,9
26,Yes,Travel_Rarely,1411,Research & Development,6,3,Marketing,1,104,3,Female,30,4,1,Manager,4,Divorced,5841,23055,5,Y,Yes,14,3,1,80,0,40,0,3,38,2,1,6
37,Yes,Travel_Rarely,1155,Human Resources,7,4,Medical,1,105,4,Female,87,2,2,Manager,1,Single,9294,7682,5,Y,Yes,14,4,4,80,0,16,3,2,7,0,1,2
38,No,Travel_Rarely,969,Sales,16,3,Life Sciences,1,106,4,Female,91,4,1,Manager,3,Married,5434,18803,3,Y,Yes,18,3,2,80,1,15,2,4,4,3,1,4
38,Yes,Travel_Rarely,560,Research & Development,6,4,Human Resources,1,107,2,Female,95,3,1,Research Director,2,Married,11208,25708,2,Y,No,11,3,3,80,1,24,5,3,17,0,2,2
29,Yes,Travel_Rarely,405,Research & Development,6,2,Technical Degree,1,108,3,Male,84,4,2,Research Director,2,Single,1947,25825,3,Y,Yes,14,3,2,80,0,14,6,4,0,0,0,0
36,No,Travel_Rarely,780,Sales,21,2,Life Sciences,1,109,4,Female,42,2,3,Sales Representative,4,Single,1488,24425,5,Y,No,18,3,3,80,1,14,2,1,9,8,5,0
40,Yes,Travel_Rarely,896,Sales,14,1,Medical,1,110,3,Male,57,3,1,Sales Representative,2,Single,5746,14215,6,Y,No,12,3,2,80,1,25,2,2,15,7,1,0
25,Yes,Travel_Rarely,1013,Sales,21,3,Other,1,111,3,Female,43,3,4,Sales Representative,1,Divorced,5801,21713,3,Y,Yes,12,4,3,80,1,5,4,2,0,0,0,0
38,No,Travel_Rarely,1099,Sales,2,3,Life Sciences,1,112,2,Female,32,2,1,Sales Representative,1,Married,1009,11669,1,Y,No,17,3,4,80,1,7,1,2,4,4,2,4
42,No,Travel_Rarely,1026,Human Resources,6,3,Medical,1,113,3,Male,45,3,1,Human Resources,3,Single,3380,13567,2,Y,No,11,3,4,80,0,11,4,3,1,0,8,1
32,Yes,Travel_Frequently,815,Research & Development,16,3,Medical,1,114,3,Female,75,3,1,Research Scientist,3,Married,2683,22551,2,Y,Yes,17,3,3,80,1,9,1,2,5,0,0,2
46,Yes,Non-Travel,707,Research & Development,1,1,Medical,1,115,3,Male,32,2,1,Research Director,2,Married,2132,18337,2,Y,No,13,3,4,80,2,20,3,3,7,3,0,2
32,Yes,Travel_Rarely,560,Research & Development,14,1,Technical Degree,1,116,4,Male,32,3,1,Laboratory Technician,3,Divorced,2679,10840,2,Y,No,16,3,2,80,1,3,1,3,2,2,1,1
29,Yes,Travel_Rarely,1140,Research & Development,1,4,Life Sciences,1,117,1,Male,70,4,3,Research Scientist,1,Married,7026,13490,2,Y,No,11,3,2,80,0,6,5,4,4,4,3,4
42,Yes,Travel_Rarely,401,Sales,14,3,Life Sciences,1,118,1,Male,58,3,2,Sales Representative,4,Divorced,2669,17159,3,Y,Yes,19,3,3,80,0,4,1,3,2,0,2,2
55,Yes,Travel_Frequently,508,Research & Development,8,3,Life Sciences,1,119,1,Female,69,2,2,Manager,4,Married,2724,26872,4,Y,Yes,11,3,3,80,3,16,2,3,3,1,1,1
37,No,Travel_Rarely,1173,Research & Development,1,4,Life Sciences,1,120,4,Male,48,3,5,Manager,4,Divorced,1860,23263,3,Y,No,17,4,1,80,2,12,5,2,1,0,14,0
42,Yes,Travel_Rarely,215,Research & Development,5,4,Life Sciences,1,121,1,Female,49,3,2,Manager,4,Single,10523,23357,1,Y,No,11,3,3,80,0,25,3,2,15,5,0,3
32,Yes,Travel_Rarely,556,Research & Development,10,2,Marketing,1,122,3,Female,50,3,1,Research Director,2,Single,6379,3681,1,Y,No,21,3,3,80,0,4,3,1,0,0,5,0
25,Yes,Travel_Rarely,627,Sales,9,3,Life Sciences,1,123,2,Male,49,4,2,Sales Representative,2,Divorced,1101,2546,4,Y,No,14,3,4,80,2,27,0,2,14,0,0,2
38,Yes,Travel_Rarely,923,Sales,5,4,Medical,1,124,3,Male,76,1,1,Manager,4,Divorced,2726,15988,2,Y,No,22,3,4,80,0,9,1,2,5,2,0,4
39,Yes,Travel_Frequently,449,Sales,20,4,Marketing,1,125,2,Male,73,3,2,Sales Executive,1,Single,6748,5168,2,Y,Yes,12,3,3,80,1,7,6,1,2,2,1,2
33,No,Travel_Rarely,1067,Research & Development,6,4,Life Sciences,1,126,4,Female,31,4,2,Manager,2,Married,10602,3206,1,Y,No,13,3,1,80,1,12,4,3,8,6,6,1
42,Yes,Travel_Rarely,272,Research & Development,6,2,Medical,1,127,3,Female,72,4,2,Manager,1,Married,8139,18359,2,Y,Yes,19,3,3,80,1,15,3,4,4,0,1,2
31,No,Travel_Rarely,507,Research & Development,1,2,Marketing,1,128,4,Male,86,3,3,Manager,3,Single,3970,3168,2,Y,No,11,3,4,80,0,9,6,2,4,4,1,2
28,Yes,Travel_Rarely,1186,Sales,22,3,Medical,1,129,3,Male,48,1,3,Sales Executive,3,Single,1542,5618,3,Y,No,12,3,2,80,0,7,1,4,0,0,2,0
46,No,Travel_Rarely,631,Research & Development,1,4,Life Sciences,1,130,1,Male,93,3,3,Laboratory Technician,2,Single,8284,23245,2,Y,No,16,3,3,80,3,17,2,2,3,3,2,3
46,Yes,Travel_Rarely,1041,Research & Development,6,3,Medical,1,131,2,Male,75,2,1,Research Scientist,1,Married,4112,10765,2,Y,No,11,3,4,80,1,2,0,3,1,1,1,1
31,No,Travel_Rarely,843,Sales,14,1,Human Resources,1,132,4,Female,70,4,1,Sales Representative,4,Single,5122,5412,4,Y,No,16,3,2,80,2,3,5,3,0,0,9,0
52,No,Travel_Rarely,302,Sales,2,4,Medical,1,133,3,Female,96,2,2,Sales Representative,1,Single,4418,5027,3,Y,Yes,15,4,2,80,1,15,3,4,3,0,0,3
34,Yes,Travel_Rarely,158,Sales,6,2,Life Sciences,1,134,1,Male,43,2,1,Manager,4,Divorced,2179,26328,3,Y,No,11,3,2,80,3,5,3,2,0,0,1,0
37,Yes,Travel_Rarely,186,Human Resources,2,2,Medical,1,135,3,Female,49,3,1,Manager,2,Single,6115,5888,0,Y,No,18,3,3,80,3,13,1,2,2,0,1,2
36,Yes,Travel_Frequently,884,Sales,12,2,Life Sciences,1,136,3,Male,64,3,2,Sales Executive,3,Married,5630,20921,0,Y,No,11,3,4,80,1,4,4,1,0,0,3,0
41,No,Travel_Rarely,814,Research & Development,7,3,Medical,1,137,2,Male,54,3,2,Research Director,3,Divorced,3806,22732,1,Y,No,17,3,3,80,0,0,4,3,0,0,9,0
39,Yes,Travel_Rarely,1231,Research & Development,17,3,Life Sciences,1,138,1,Female,33,3,3,Research Director,1,Single,6520,20990,4,Y,Yes,15,3,2,80,1,9,5,4,1,1,1,1
39,No,Travel_Rarely,927,Research & Development,20,3,Life Sciences,1,139,4,Male,86,3,2,Research Scientist,3,Single,2155,11459,6,Y,No,13,3,3,80,1,40,2,4,40,1,9,4
27,Yes,Travel_Frequently,1139,Human Resources,9,1,Medical,1,140,1,Male,31,3,5,Manager,3,Married,4182,25192,2,Y,No,11,4,3,80,1,1,2,4,0,0,5,0
21,No,Travel_Rarely,1040,Human Resources,11,1,Life Sciences,1,141,2,Male,95,3,3,Human Resources,4,Married,4992,13347,2,Y,Yes,16,3,3,80,2,15,2,3,7,4,4,3
